Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
protein import into mitochondrial matrix (GO:0030150),TOMM40/PAM16/TOMM20L/TIMM23/TIMM44/DNAJC15/TOMM20/TIMM21/TOMM22/DNAJC19/TOMM40L/TIMM50/GRPEL2/GRPEL1/TIMM23B/DNLZ/TIMM17B/TIMM17A/TOMM7,DNAJC19/GRPEL1,NA,2,2/374,0.0121493327342251,1
peptidyl-lysine modification (GO:0018205),UBE2I/ESCO1/NUP214/P3H3/MITF/KIAA1586/NUP210/P3H4/NUP93/NUP98/PLOD1/CTH/PCNA/NUP205/LOXL4/NUGGC/PARK7/PLOD3/PLOD2/NUP160/LOXL2/LOXL3/AURKB/MTA1/NNAT/NUP85/NUP88/RAE1/PIAS4/BCL11A/NUP153/NUP155/PIAS1/PIAS3/TOPORS/PIAS2/SENP3-EIF4A1/BIRC5/UBA2/SAE1/MDM2/POM121/LIPT2/POP5/CDCA8/AAAS/GCSH/RNF212/TPR/BLOC1S1/POM121C/NUP62/NFATC2IP/TP53BP1/LIPT1/TRPM4/NDC1/SIRT5/NUP133/SIRT1/SENP3/SIRT2/SIRT3/SENP1/SIRT4/SENP2/NUP50/KAT2B/SP3/INCENP/NUP54/ETFBKMT/NUP58/TOP1/TOP2B/L3MBTL2/USPL1/SEH1L/TOP2A/LIAS/METTL21A/RNF212B/NUP43/VCPKMT/RANBP2/EYA1/GLRX5/VPS33B/RANGAP1/NDUFAB1/NUP35/VIPAS39/NUPL2/EEF1AKMT3/NUP37/EEF1AKMT2/IVL/EEF1AKMT1/HDAC6/NUP107/ZNF451/HDAC4/NUP188/HDAC9/IFIH1/SENP8/SENP5/SENP6/SUMO2/SUMO1/EP300/SUMO4/SUMO3/TRIM28/ATP7A,NUP214/NUP210/NUP98/PLOD2/NUP88/RAE1/NUP62/SIRT5/NUP54/NUP58,NA,10,10/374,0.000188242003120339,0.960598941923092
cellular response to nitric oxide (GO:0071732),KCNC2/MMP3/CDK2/MT3/DPEP1/MTR/AQP1/FOXO1,CDK2,NA,1,1/374,0.0167747462928842,1
"regulation of synaptic transmission, dopaminergic (GO:0032225)",CNTNAP4/CHRNB2/TOR1A/GDNF/DRD1/FLOT1/DRD2/DRD3,TOR1A,NA,1,1/374,0.0167747462928842,1
intracellular sterol transport (GO:0032366),STARD4/ABCA1/VPS4A/NPC2/ARV1/ABCG1/SERAC1,NPC2,NA,1,1/374,0.0127977214204242,1
endosomal transport (GO:0016197),ANKFY1/ZFYVE21/SCRIB/ATG14/DCLK1/ZFYVE16/WDR81/CORO7/VPS25/VPS29/VPS28/TMEM87A/TMEM87B/STX16/ZFYVE9/AP5Z1/SNX33/SNX31/STX10/MICALL1/MICALL2/SNX27/TGOLN2/MVB12B/VTI1B/MVB12A/VPS11/VTI1A/RAB11FIP3/RILP/VPS16/RAB11FIP4/VPS18/ABCA1/VPS37D/MYO5B/RASSF9/VPS13C/BLOC1S5-TXNDC5/SNF8/STAM/VPS37B/VPS13A/VPS37C/VPS37A/EHD1/DOPEY2/EHD2/EHD3/FAM160A2/EHD4/VAMP7/BIN1/VAMP3/DOPEY1/C9ORF72/VPS26B/GCC2/VPS26A/BLOC1S5/BLOC1S1/BLOC1S3/SNAPIN/EMP2/RBSN/RHOB/HEATR5B/CALY/HEATR5A/UBAP1/RAB7A/RAB7B/DENND1C/TINAGL1/SDCCAG3/DENND1B/DENND1A/CLTC/ADRB2/SNX4/SNX5/SNX2/SNX1/CLTCL1/EPS15/GPRASP1/HMGXB4/RAB6B/RAB6C/RPS27A/SNX9/SNX6/RAB6A/MON2/RIC1/GBF1/SORT1/RAB11B/RGP1/RNF126/SNX17/SNX18/SNX16/LAMTOR1/RAB9A/RAB9B/ARF6/ALMS1/AP2A1/TRAK1/EEA1/ARFRP1/KIF13A/ANXA8/ANKRD50/TBC1D10A/TBC1D10B/TBC1D10C/ANKRD27/STX8/AP5B1/KLHL20/KIF16B/RAB35/UBE2O/CHMP4C/CHMP4B/TBC1D23/CHMP4A/SQSTM1/STAM2/WASHC2C/WASHC2D/WASHC2A/LAPTM4B/STX6/STX5/YKT6/DENND5A/RAB29/PLEKHJ1/TBC1D17/DENND2A/VTA1/BET1L/M6PR/NSG1/SYS1-DBNDD2/NSG2/WASH3P/PICALM/HGS/CHMP2B/CHMP3/CHMP2A/CHMP7/RAB5A/CHMP5/CHMP6/TSG101/SYS1/CLEC16A/DPY30/ARHGAP1/ARL1/WASH2P/MAGEL2/RAB41/RHOBTB3/UBC/UBB/TOM1/AP5S1/WASHC1/WASHC4/DTX3L/AKTIP/ARL4C/HOOK3/HOOK2/PIKFYVE/HOOK1/PIK3C3/VPS4A/TGFBRAP1/VPS4B/PIK3R4/FAM109B/PTPN23/WASH4P/FAM109A/MTM1/AP5M1/VPS50/VPS52/DENND3/VPS51/VPS54/VPS53/EVI5/SPAG9/VPS33A/LMTK2/RAB12/MYO1D/RAB10/TBC1D5/VPS41/RAB13/RAB14/RAB17/VIPAS39/UBA52/BECN1/BECN2/GOSR1/MGRN1/GOSR2/WASH6P/DCTN1/CLN5/AP4M1/WDR91/ERC1/TRIM27/VPS36/VPS35/SCYL2/VPS39,VPS11/GCC2/RAB7A/ARF6/CHMP2A/UBC/WASHC4/HOOK1/RAB10/RAB14/ERC1/VPS39,NA,12,12/374,0.0066056034413113,1
positive regulation of histone H3-K4 methylation (GO:0051571),KMT2E/PAXIP1/SMAD4/AUTS2/KMT2A/CTNNB1/DNMT3B/CTR9/BRCA1/SNW1/MYB/WDR61/DNMT1,DNMT1,NA,1,1/374,0.0429301060251057,1
heterotypic cell-cell adhesion (GO:0034113),CXADR/DSP/ITGA5/ITGA4/JUP/RNASE10/IZUMO1/LILRB2/PARVA/CD2/ITGAD/PKP2/DSG2/ITGA7/DSC2/ITGB2/ITGB1/ITGB3/CD1D/ITGAX/MADCAM1/ITGAV/CTNNA3/ITGB7/CD58,PKP2/ITGB1,NA,2,2/374,0.0257433234660879,1
response to chemokine (GO:1990868),LRCH1/RHOA/RIPOR2/FOXC1/ZC3H12A/DOCK8,RHOA,NA,1,1/374,0.00929900216569043,1
regulation of adherens junction organization (GO:1903391),RHOA/GPM6B/MACF1/ROCK1/RDX/ROCK2/LDB1/DAPK3/PTPN23/EFNA5/SLC9A1/CORO1C/PTK2/CAMSAP3/SLK/ADD1/CLASP1/EPHA3,RHOA/RDX,NA,2,2/374,0.0104273578547051,1
regulation of signal transduction by p53 class mediator (GO:1901796),BRPF1/HEXIM1/SUPT16H/RPL23/HUS1/PRKAB1/HIPK2/POU4F1/HIPK1/PRKAB2/POU4F2/PML/MAPK14/MAPK11/BOP1/MAPKAPK5/KAT6A/DNA2/RHNO1/MRE11/TP53/PRKAA2/RNF34/RPL11/TP53RK/AURKA/PRKAA1/TAF1L/AURKB/MTA2/CHEK1/RBBP4/CHEK2/AKT1/KMT5A/RBBP7/RBBP8/TAF9B/RFFL/PLK3/TOP3A/NUAK1/TP73/TPX2/CSNK2B/RAD17/TAF4B/MDM4/PIN1/RAD9A/RAD9B/MDM2/RPL5/BLM/DYRK2/MEAF6/STK11/BRIP1/UBC/UBB/KAT5/TP53BP2/BANP/BARD1/CDK5RAP3/TP63/ZNF385A/RFC4/RFC5/RFC2/RMI1/RFC3/RMI2/ARTN/JMY/CDK5/CDK2/ATM/ATR/L3MBTL1/PHF20/NOP2/PAK1IP1/CHD5/BRCA1/CHD4/CHD3/RPF2/TOPBP1/SMYD2/RRS1/RPS27A/ATRIP/TBP/TAF15/TAF13/CSNK2A2/CSNK2A1/PRMT5/TAF11/TAF12/MBD3/RPA2/TP53INP1/RPA3/TAF10/SSRP1/RPA1/RAD50/TAF1/ERCC4/TTC5/TAF9/TAF7/TAF6/UBA52/CDK5R1/TAF5/NOP53/TAF4/TAF3/TAF2/PPP1R13B/HDAC1/SETD9/HDAC2/PRKAG2/EHMT1/PRKAG3/EHMT2/PRKAG1/NOC2L/ING5/WRN/EXO1/PPP1R13L/EP300/BRD7,AURKA/AKT1/CSNK2B/UBC/CDK2/CSNK2A2/HDAC2,NA,7,7/374,0.0266934402169026,1
positive regulation of mitochondrial calcium ion concentration (GO:0051561),TGM2/FIS1/MCUR1/BCAP31/RAP1GDS1/ATP2A1/MICU1/MCU,RAP1GDS1,NA,1,1/374,0.0167747462928842,1
ribosomal large subunit export from nucleus (GO:0000055),XPO1/NPM1/ZNF593/NMD3/RRS1/NUP88/NOP53/RAN,NUP88,NA,1,1/374,0.0167747462928842,1
tRNA pseudouridine synthesis (GO:0031119),PUS3/PUS10/RPUSD1/RPUSD3/PUS1/RPUSD4/PUSL1,PUSL1,NA,1,1/374,0.0127977214204242,1
cellular response to ketone (GO:1901655),MSN/ACOD1/KLF9/GNB1/TNFSF4/CFTR/SRC/ADCY1/ROCK2/PTGER2/PTGER4/ADCY5/ADCY3/AHR/ADCY2/NR3C1/GNAI1/SFRP1/AQP1/ADCY6/LARP1/GNG2/SPP1/NDOR1/PCK2/PCK1/DCPS/PTGDR,GNB1/LARP1,NA,2,2/374,0.0346570747300981,1
nitric oxide biosynthetic process (GO:0006809),NANOS2/NQO1/NANOS1/NOS3/DDAH2/SPR/ARG2/GCH1/AKT1/CYP1B1/GCHFR,AKT1,NA,1,1/374,0.0313121388414287,1
regulation of receptor-mediated endocytosis (GO:0048259),CCL21/SGIP1/TNK2/ARAP3/APOA5/DKK1/SNAP91/PICALM/TF/SMAP1/HNRNPK/APOC1/PIK3CB/APOC3/HIP1R/APOC2/PPT1/BMP2K/AAK1/ARF6/HIP1/ARF1/SERPINE1/HFE/CLU/BICD1/CBL/LRPAP1/VTN/RAB21/RSPO1/RAC1/FLOT1/LDLRAP1/B2M/CCL19,HNRNPK/PPT1/ARF6,NA,3,3/374,0.0133990862950362,1
smooth muscle cell migration (GO:0014909),DDR1/PDGFRB/NOV/ITGB3/PLAT/AAMP/PARVA,PLAT,NA,1,1/374,0.0127977214204242,1
axonal fasciculation (GO:0007413),AMIGO1/RTN4/SEMA5A/ARHGAP35/CNTN4/NRCAM/CDK5R1/EPHB3/EPHB2/MEGF8/EPHA4/EPHA3,RTN4,NA,1,1/374,0.0369440363050621,1
interleukin-18-mediated signaling pathway (GO:0035655),IL18BP/IL18RAP/ALOX5/AKT1/PDGFB/IL18/IL18R1,AKT1,NA,1,1/374,0.0127977214204242,1
regulation of nitric-oxide synthase biosynthetic process (GO:0051769),EDN1/GSTP1/NOD2/TLR2/NAMPT/SELENOS/KDR/TLR9/CCL2/FCER2/TLR4/JAK2,SELENOS,NA,1,1/374,0.0369440363050621,1
cellular response to interleukin-18 (GO:0071351),IL18BP/IL18RAP/ALOX5/AKT1/PDGFB/IL18/IL18R1,AKT1,NA,1,1/374,0.0127977214204242,1
bleb assembly (GO:0032060),P2RX7/EMP1/PMP22/EMP2/EMP3/ANO6/MYLK,ANO6,NA,1,1/374,0.0127977214204242,1
positive regulation of protein metabolic process (GO:0051247),TGFB1/WNT5A/AGT/EREG/RNF41/HNRNPK/APC/ASB9/TFR2/AGTR1/ASB5/VIP/VPS28/MTPN/APP/RAB1A/RAB1B/PRKN/ROCK2/CSF1/LRP1/CHRNA7/HECW1/C4BPA/CLU/TNF/C4BPB/NKD1/FOXO1/FZR1/ASB11/AKT1/FGF21/STX5/RILP/MAP2K5/NSF/WFS1/PLK2/INHBA/SNF8/HECW2/EIF4G1/VCP/NEDD4L/PSEN1/TNFSF12/APOE/ATG7/BARD1/TIPARP/SMURF2/SMURF1/AXIN1/NFKBIA/RAB7A/GSK3B/GSK3A/TNFAIP3/IDE/OAZ1/OAZ2/OAZ3/SCAP/DACT1/EGLN2/ADIPOQ/CSNK2A1/NR1H3/NR1H2/CSNK2A3/WWP1/WNT7A/WWP2/CNPY2/PRMT1/SORL1/ITCH/KLF4/DAB2IP/KLF2/DDB1/PLA2G10/NEDD4/DTL/TRIM32/SEC22B/ANAPC2/CDKN1B/GBA/NDUFA13/LDB1/UHRF1/INS/MAPK8/MAPK7,RNF41/HNRNPK/RAB1A/AKT1/WFS1/RAB7A/IDE/SCAP,NA,8,8/374,0.000827270431398256,1
"nucleotide-excision repair, preincision complex assembly (GO:0006294)",PARP1/CHD1L/RPA2/RPA3/GTF2H1/RAD23B/GTF2H2/RPA1/GTF2H3/GTF2H4/GTF2H5/RBX1/DDB2/CUL4B/CUL4A/DDB1/CDK7/ERCC5/ERCC2/ERCC3/UBA52/MNAT1/CETN2/CCNH/XPA/XPC/UBC/UBB/RPS27A,RBX1/UBC,NA,2,2/374,0.037938246141677,1
protein processing (GO:0016485),F10/CMA1/F12/HFE2/USP17L2/AFG3L2/XPNPEP3/YME1L1/UQCRC2/UQCRC1/CNTN1/PROS1/HM13/LONP2/PMPCB/PMPCA/NCSTN/PRSS3/TYSND1/PROC/LGMN/SPPL2C/SPPL2B/HTRA2/SPPL2A/PSEN1/PSEN2/IMMP2L/GGT1/RHBDL3/RHBDL2/RHBDL1/PSENEN/SRGN/PTCH1/AZU1/PRSS12/KLK13/IMMP1L/MMP14/MMP16/CPE/CPD/OGT/KLKB1/GAS6/METAP2/CPM/STOML2/KLK2/KLK1/OMA1/KLK6/TMPRSS2/PROZ/AEBP1/PCSK9/KLK3/PCSK7/ADAMTS13/CPZ/PCSK6/ZMPSTE24/PCSK5/CTSS/PCSK4/APH1B/APH1A/DDI2/CASP2/TMEM208/CPXM2/CTSH/RCE1/CPXM1/CASP1/CTSG/RHBDF2/RHBDF1/GZMB/F2/GZMH/ASPRV1/F7/SPCS3/F9/SPCS2/SPCS1/FXN/SEC11A/C1R/FURIN/ECE1/SPPL3/CLN5/CPN1/ADAMTS3/CLN3/BGLAP/SEC11C/SEC11B,PMPCB/PMPCA/TYSND1/STOML2/TMPRSS2/PCSK6,NA,6,6/374,0.0156080828071565,1
regulation of plasma membrane bounded cell projection organization (GO:0120035),PTEN/ZNF804A/CCDC88A/FCGR2B/FRMD7/NCS1/TCTEX1D2/AKT1/IL1RAPL1/NDEL1/ULK4/FBXO7/VPS35,AKT1,NA,1,1/374,0.0429301060251057,1
viral gene expression (GO:0019080),RPS8/RPL22/RPL21/RPS9/RPS6/RPL24/NUP214/RPL23/RPS7/NUP210/RPSA/NUP93/NUP98/RPL26/RPL28/RPL27/RPL29/NUP205/RPL11/RPL10/RPL13/RPL12/NUP160/RPS4Y1/NUP85/RPL15/RPS5/RPL14/RPS2/RPL17/RPS3/NUP88/RPL19/RAE1/RPL18/RPL41/NUP153/NUP155/RPS27/RPS26/RPS29/RPS28/RPL27A/RPS21/RPS20/RPS23/RPS25/RPS24/RPL5/RPL6/POM121/RPL31/RPL3/RPL4/RPL30/RPL32/RPL35/RPL34/RPL9/RPL7/RPL8/AAAS/RPS16/RPS15/RPS18/RPS17/TPR/RPS19/POM121C/NUP62/RPL37/RPL36/RPL39/RPS10/RPL38/RPS11/RPS14/RPS13/NDC1/EIF2AK4/RPL13A/RPS3A/NUP133/NUP50/NUP54/RPL37A/NUP58/SEH1L/MRPS12/NUP43/RPL36A/RPS15A/RPS27A/RANBP2/RPL35A/RPL23A/NUP35/UBA52/NUPL2/NUP37/NUP107/RPLP0/FURIN/RPLP2/RPLP1/NUP188/RPL10A/RPS4X/RPL18A/RPL7A,NUP214/NUP210/NUP98/NUP88/RAE1/NUP62/RPL36/NUP54/NUP58,NA,9,9/374,0.000550533060243338,1
3'-UTR-mediated mRNA destabilization (GO:0061158),ZC3H12D/KHSRP/UPF1/ZFP36/ZC3H12A/TRIM71/RC3H1/ZFP36L1/CPEB3/ZFP36L2,UPF1,NA,1,1/374,0.026057258962688,1
organophosphate ester transport (GO:0015748),OSBPL8/PRELID2/PRELID1/STARD7/OSBPL5/STARD10/SCP2D1/SLC25A19/NPC2/PITPNM1/CETP/SLC44A4/MT-TP/PITPNB/PITPNA/TRIAP1/PCTP/PITPNC1/PLTP/SCP2/TNFAIP8L3/PRELID3A/SCARB1/LDLR/PRELID3B,NPC2/SCARB1,NA,2,2/374,0.0257433234660879,1
DNA-dependent DNA replication (GO:0006261),GINS2/MGME1/GINS3/RFC4/GINS1/RFC5/RFC2/RFC3/GINS4/RFC1/LRWD1/CDC7/HMGA1/WDHD1/POLA1/POLA2/POLE2/POLE3/POLE4/CDK2AP1/DNA2/MCM2/PNKP/NEXMIF/MCM10/ORC6/ORC5/ORC2/ORC1/PURA/ORC4/ORC3/TOPBP1/TWNK/POLN/BAZ1A/RPA1/RAD51/CDC34/RPA4/POLG2/PRIM2/PRIM1/PRIMPOL/RPAIN/POLD4/POLB/POLE/CDC45/HELB/POLD1/POLD2/POLK/MCMBP/POLG/REV3L,POLA1/POLA2/MCM2/PRIM2/PRIM1,NA,5,5/374,0.00310242627695599,1
regulation of sequestering of zinc ion (GO:0061088),SLC30A8/SLC30A7/SLC30A4/SLC30A3/SLC30A6/SLC30A5/AP3D1/SLC30A2/SLC30A1/SLC30A10,SLC30A7/SLC30A6,NA,2,2/374,0.00178695278804473,1
positive regulation of ubiquitin-protein transferase activity (GO:0051443),FBXW7/UBE2C/PLK1/ARRDC3/ARRDC4/AXIN1/TOPORS/CDC20/PINK1/UBE2S/GORASP1/TRIB3/PIN1/UBE2N/RAB1A/DCUN1D4/DCUN1D5/DCUN1D2/DCUN1D3/PTEN/DCUN1D1/BMI1/ANAPC10/CDC14B/UBE2L3/FZR1/GOLGA2/MAGEA2/FBXO5/RPS2/MAGEC2,GORASP1/RAB1A/GOLGA2,NA,3,3/374,0.00791453651354465,1
protein C-linked glycosylation via tryptophan (GO:0018317),DPM3/DPY19L1/DPY19L2P1/DPY19L2/DPY19L3/DPY19L4/DPY19L2P2,DPY19L1,NA,1,1/374,0.0127977214204242,1
