DrugBank ID,Name,PubChem Compound ID,STICH_ID,SE.NAME
DB00503,Ritonavir,392622,CID000392622,Gastrointestinal pain<br>Abdominal pain<br>Albuminuria<br>Amblyopia<br>Amnesia<br>Anaemia<br>Decreased appetite<br>Anxiety<br>Aphasia<br>Arthralgia<br>Musculoskeletal discomfort<br>Arthritis<br>Asthenia<br>Asthma<br>Ataxia<br>Back pain<br>Mental disorder<br>Blepharitis<br>Bone disorder<br>Breast disorder<br>Bronchitis<br>Cachexia<br>Oral candidiasis<br>Candida infection<br>Cardiovascular disorder<br>Neck pain<br>Cheilitis<br>Chest pain<br>Cholangitis<br>Colitis<br>Colitis ulcerative<br>Proctocolitis<br>Coma<br>Confusional state<br>Feeling abnormal<br>Conjunctivitis<br>Connective tissue disorder<br>Constipation<br>Cough<br>Cushing's syndrome<br>Cystitis noninfective<br>Cystitis<br>Bladder pain<br>Disturbance in sexual arousal<br>Libido decreased<br>Dysphagia<br>Dehydration<br>Depersonalisation<br>Depression<br>Dermatitis exfoliative<br>Dermatitis contact<br>Fungal skin infection<br>Diabetes mellitus<br>Diarrhoea<br>Diplopia<br>Dizziness<br>Dysgeusia<br>Dyspepsia<br>Dyspnoea<br>Dysuria<br>Ear pain<br>Ecchymosis<br>Eczema<br>Oedema<br>Endocrine disorder<br>Toxic epidermal necrolysis<br>Grand mal convulsion<br>Epistaxis<br>Eructation<br>Erythema multiforme<br>Oesophagitis<br>Rash<br>Dermatitis<br>Eye disorder<br>Facial pain<br>Fasting<br>Fatigue<br>Faecal incontinence<br>Body temperature increased<br>Flatulence<br>Flushing<br>Folliculitis<br>Furuncle<br>Gastritis<br>Gastroenteritis<br>Gastrooesophageal reflux disease<br>Gastrointestinal disorder<br>Gastrointestinal haemorrhage<br>Gingivitis<br>Glycosuria<br>Gout<br>Hallucination<br>Headache<br>Cardiac disorder<br>Subdural haematoma<br>Haematuria<br>Factor VIII deficiency<br>Haemorrhage<br>Haemoglobin<br>Coma hepatic<br>Hepatitis<br>Hepatomegaly<br>Hepatosplenomegaly<br>Hiccups<br>Hypercholesterolaemia<br>Hyperaesthesia<br>Hyperglycaemia<br>Hyperlipidaemia<br>Hypersensitivity<br>Hypertension<br>Hypertriglyceridaemia<br>Blood triglycerides increased<br>Hypoaesthesia<br>Hypotension<br>Orthostatic hypotension<br>Hypothermia<br>Body temperature decreased<br>Ileitis<br>Immune system disorder<br>Influenza<br>Iritis<br>Ischaemia<br>Jaundice<br>Jaundice cholestatic<br>Osteoarthritis<br>Arthropathy<br>Nephrolithiasis<br>Renal failure acute<br>Laryngeal oedema<br>Muscle spasms<br>Acute myeloid leukaemia<br>Acute leukaemia<br>Leukopenia<br>Lung disorder<br>Lymphocytosis<br>Breast pain<br>Mediastinal disorder<br>Melaena<br>Menorrhagia<br>Molluscum contagiosum<br>Myopathy<br>Myeloproliferative disorder<br>Myocardial infarction<br>Acute coronary syndrome<br>Myositis<br>Nausea<br>Nervous system disorder<br>Nervousness<br>Tension<br>Neuralgia<br>Neutropenia<br>Nocturia<br>Pain<br>Palpitations<br>Pancreatitis<br>Paraesthesia<br>Pelvic pain<br>Penis disorder<br>Tooth abscess<br>Neuropathy peripheral<br>Personality disorder<br>Pharyngitis<br>Phlebitis<br>Polyuria<br>Urine output increased<br>Pruritus<br>Psoriasis<br>Pyelonephritis<br>Anorectal disorder<br>Renal failure<br>Rhinitis<br>Scotoma<br>Seborrhoeic dermatitis<br>Convulsion<br>Sialoadenitis<br>Sinusitis<br>Skin disorder<br>Speech disorder<br>Stomatitis<br>Hyperhidrosis<br>Loss of consciousness<br>Shock<br>Syncope<br>Tachycardia<br>Thirst<br>Thrombocytopenia<br>Thrombosis<br>Onychomycosis<br>Tinnitus<br>Tremor<br>Urethritis<br>Urethritis noninfective<br>Pollakiuria<br>Urinary tract infection<br>Urethral disorder<br>Urinary tract disorder<br>Urticaria<br>Uveitis<br>Vaginal infection<br>Vaginal inflammation<br>Angiopathy<br>Vasodilation procedure<br>Vertigo<br>Vestibular disorder<br>Vomiting<br>Weight decreased<br>Xanthomatosis<br>Dry mouth<br>Urinary retention<br>Peripheral vascular disorder<br>Chills<br>Atrioventricular block first degree<br>Bundle branch block right<br>Vasospasm<br>Stupor<br>Depressed level of consciousness<br>Agitation<br>Mood swings<br>Affect lability<br>Photophobia<br>Rash pustular<br>Oedema peripheral<br>Mouth ulceration<br>Migraine<br>Peripheral sensory neuropathy<br>Musculoskeletal stiffness<br>Nuchal rigidity<br>Alcohol intolerance<br>Hormone level abnormal<br>Atrioventricular block complete<br>Blood urea increased<br>Blood creatine phosphokinase increased<br>Diarrhoea haemorrhagic<br>Tongue oedema<br>Tongue disorder<br>Enzyme abnormality<br>Skin hypertrophy<br>Injury<br>Renal impairment<br>Hepatocellular injury<br>Liver injury<br>Liver function test abnormal<br>Mania<br>Malignant melanoma<br>Muscular weakness<br>Bone pain<br>Eye pain<br>Paraesthesia oral<br>Dermatitis bullous<br>Aspartate aminotransferase increased<br>Skin discolouration<br>Dry skin<br>Cerebral venous thrombosis<br>Oesophageal ulcer<br>Vitreous disorder<br>Abnormal faeces<br>Ophthalmoplegia<br>Malnutrition<br>Photosensitivity reaction<br>Interstitial lung disease<br>Hyperamylasaemia<br>Malaise<br>Discomfort<br>Ill-defined disorder<br>Myalgia<br>Muscle twitching<br>Anorectal discomfort<br>Rectal tenesmus<br>Proctalgia<br>Disturbance in attention<br>Mental disability<br>Thinking abnormal<br>Abnormal dreams<br>Euphoric mood<br>Hepatotoxicity<br>Erectile dysfunction<br>Atrioventricular block second degree<br>Rectal haemorrhage<br>Hepatobiliary disease<br>Secondary adrenocortical insufficiency<br>Peripheral coldness<br>Blood bilirubin increased<br>Electrolyte imbalance<br>Vision blurred<br>Hypovitaminosis<br>Abdominal distension<br>Adrenal insufficiency<br>Rash maculo-papular<br>Hyperkinesia<br>Retinogram abnormal<br>Lymphadenopathy<br>Dementia<br>Coordination abnormal<br>Paralysis<br>Throat irritation<br>Face oedema<br>Renal pain<br>Gait disturbance<br>Haemophilia<br>Drug interaction<br>Acne<br>Sleep disorder<br>Fat redistribution<br>Lipodystrophy acquired<br>Cerebral ischaemia<br>Insomnia<br>Pseudomembranous colitis<br>Ileus<br>Hearing impaired<br>Deafness<br>Parosmia<br>Oropharyngeal pain<br>Ageusia<br>Somnolence<br>Feeling hot<br>Hypoxia<br>Hypoventilation<br>Respiratory failure<br>Visual impairment
DB00507,Nitazoxanide,41684,CID000041684,Gastrointestinal pain<br>Abdominal pain<br>Amenorrhoea<br>Anaemia<br>Decreased appetite<br>Asthenia<br>Back pain<br>Infection<br>Constipation<br>Diarrhoea<br>Dizziness<br>Dyspepsia<br>Dysuria<br>Ear pain<br>Oedema<br>Epistaxis<br>Rash<br>Dermatitis<br>Body temperature increased<br>Flatulence<br>Headache<br>Hypersensitivity<br>Hypertension<br>Hypoaesthesia<br>Influenza<br>Muscle spasms<br>Leukocytosis<br>Lung disorder<br>Metrorrhagia<br>Nausea<br>Pain<br>Pelvic pain<br>Pharyngitis<br>Pruritus<br>Rhinitis<br>Loss of consciousness<br>Shock<br>Syncope<br>Tachycardia<br>Thirst<br>Tremor<br>Vomiting<br>Dry mouth<br>Chills<br>Blood creatinine increased<br>Alanine aminotransferase increased<br>Malaise<br>Discomfort<br>Feeling abnormal<br>Ill-defined disorder<br>Myalgia<br>Musculoskeletal discomfort<br>Increased appetite<br>Chromaturia<br>Renal pain<br>Insomnia<br>Somnolence
DB00512,Vancomycin,14969,CID000014969,Gastrointestinal pain<br>Abdominal pain<br>Agranulocytosis<br>Anaphylactic shock<br>Anaemia<br>Back pain<br>Infection<br>Connective tissue disorder<br>Constipation<br>Deafness<br>Dermatitis exfoliative<br>Drug eruption<br>Dizziness<br>Drug abuse<br>Dyspnoea<br>Eosinophilia<br>Toxic epidermal necrolysis<br>Rash<br>Dermatitis<br>Extravasation<br>Fatigue<br>Asthenia<br>Body temperature increased<br>Flatulence<br>Flushing<br>Gastrointestinal disorder<br>Headache<br>Deafness neurosensory<br>Hypersensitivity<br>Hypokalaemia<br>Hypotension<br>Fungal infection<br>Nausea<br>Necrosis<br>Tubulointerstitial nephritis<br>Nervous system disorder<br>Neutropenia<br>Pain<br>Palpitations<br>Phlebitis<br>Pregnancy<br>Pruritus<br>Renal failure<br>Muscle spasms<br>Stevens-Johnson syndrome<br>Erythema multiforme<br>Tachycardia<br>Thrombocytopenia<br>Thrombophlebitis<br>Tinnitus<br>Erythema<br>Azotaemia<br>Urinary tract infection<br>Urticaria<br>Vasculitis<br>Vertigo<br>Vomiting<br>Wheezing<br>Chills<br>Oedema peripheral<br>Dermatitis bullous<br>Blood creatinine increased<br>Deafness permanent<br>Injection site inflammation<br>Renal impairment<br>Malnutrition<br>Skin disorder<br>Rash macular<br>Tenderness<br>Ototoxicity<br>Clostridium difficile colitis<br>Anaphylactoid reaction<br>Chemical peritonitis<br>Linear IgA disease<br>Bradycardia<br>Nephropathy toxic<br>Infestation<br>Insomnia<br>Red man syndrome<br>Hearing impaired
DB00513,Aminocaproic acid,564,CID000000564,Gastrointestinal pain<br>Abdominal pain<br>Agranulocytosis<br>Anaphylactic shock<br>Coagulopathy<br>Confusional state<br>Feeling abnormal<br>Delirium<br>Diarrhoea<br>Dizziness<br>Dyspnoea<br>Oedema<br>Rash<br>Dermatitis<br>Hallucination<br>Headache<br>Hypersensitivity<br>Hypotension<br>Leukopenia<br>Myopathy<br>Myositis<br>Nasal congestion<br>Nausea<br>Necrosis<br>Pain<br>Pruritus<br>Pulmonary embolism<br>Renal failure<br>Rhabdomyolysis<br>Convulsion<br>Cerebrovascular accident<br>Loss of consciousness<br>Shock<br>Syncope<br>Thrombocytopenia<br>Thrombosis<br>Tinnitus<br>Vomiting<br>Blood urea increased<br>Blood creatine phosphokinase increased<br>Injection site reaction<br>Intracranial pressure increased<br>Muscular weakness<br>Malaise<br>Discomfort<br>Ill-defined disorder<br>Myalgia<br>Musculoskeletal discomfort<br>Peripheral ischaemia<br>Anaphylactoid reaction<br>Bradycardia<br>Local reaction<br>Lacrimation increased
DB00514,Dextromethorphan,5360696,CID005360696,Gastrointestinal pain<br>Abdominal pain<br>Mental disorder<br>Confusional state<br>Feeling abnormal<br>Constipation<br>Diarrhoea<br>Dizziness<br>Somnolence<br>Fatigue<br>Asthenia<br>Fructose intolerance<br>Gastrointestinal disorder<br>Hallucination<br>Hypersensitivity<br>Hypoglycaemia<br>Immune system disorder<br>Irritability<br>Nausea<br>Nervous system disorder<br>Nervousness<br>Tension<br>Psychotic disorder<br>Vomiting<br>Agitation<br>Dyspepsia<br>Pulmonary function test decreased<br>Respiratory depression<br>Abdominal discomfort<br>Serotonin syndrome
DB00515,Cisplatin,2767,CID000002767,Alopecia<br>Anaphylactic shock<br>Anaemia<br>Haemolytic anaemia<br>Decreased appetite<br>Arrhythmia<br>Asthenia<br>Azoospermia<br>Breast disorder<br>Cellulitis<br>Cerebral arteritis<br>Clonus<br>Infection<br>Conjunctivitis<br>Connective tissue disorder<br>Coronary artery disease<br>Deafness<br>Dehydration<br>Diarrhoea<br>Polyuria<br>Dyspnoea<br>Oedema<br>Electric shock<br>Rash<br>Dermatitis<br>Extravasation<br>Eye disorder<br>Body temperature increased<br>Fibrosis<br>Flushing<br>Gastrointestinal disorder<br>Heart disease congenital<br>Cardiac disorder<br>Cardiac failure congestive<br>Haemolysis<br>Haemolytic uraemic syndrome<br>Hiccups<br>Hypersensitivity<br>Hypokalaemia<br>Hyponatraemia<br>Hypotension<br>Orthostatic hypotension<br>Immune system disorder<br>Inappropriate antidiuretic hormone secretion<br>Irritability<br>Renal failure acute<br>Leukopenia<br>Mediastinal disorder<br>Muscle spasms<br>Myocardial infarction<br>Acute coronary syndrome<br>Nasal congestion<br>Nausea<br>Necrosis<br>Nervous system disorder<br>Optic neuritis<br>Pain<br>Pancreatitis<br>Papilloedema<br>Paraesthesia<br>Neuropathy peripheral<br>Phlebitis<br>Renal failure<br>Convulsion<br>Spinal cord disorder<br>Stomatitis<br>Cerebrovascular accident<br>Tachycardia<br>Tetany<br>Thrombocytopenia<br>Tinnitus<br>Tremor<br>Erythema<br>Urethral disorder<br>Urinary tract disorder<br>Vomiting<br>Wheezing<br>Acute leukaemia<br>Hypophosphataemia<br>Fluid retention<br>Generalised oedema<br>Renal tubular disorder<br>Hepatocellular injury<br>Liver injury<br>Skin exfoliation<br>Skin necrosis<br>Retinal pigmentation<br>Aspartate aminotransferase increased<br>Blindness cortical<br>Malnutrition<br>Skin disorder<br>Malaise<br>Discomfort<br>Feeling abnormal<br>Ill-defined disorder<br>Myalgia<br>Musculoskeletal discomfort<br>Anxiety<br>Areflexia<br>Dysarthria<br>Neurological symptom<br>Neurotoxicity<br>Ototoxicity<br>Hepatotoxicity<br>Autonomic neuropathy<br>Hepatobiliary disease<br>Leukoencephalopathy<br>Glucose tolerance impaired<br>Anaphylactoid reaction<br>Vision blurred<br>Bradycardia<br>Blindness<br>Amylase increased<br>Face oedema<br>Lhermitte's sign<br>Nephropathy toxic<br>Blood creatinine increased<br>Hyperhidrosis<br>Blood uric acid increased<br>Hyperuricaemia<br>Febrile neutropenia<br>Amnesia<br>Generalised erythema<br>Pancytopenia<br>Renal failure chronic<br>Retinal toxicity<br>Pulmonary toxicity<br>Bone marrow toxicity<br>Loss of proprioception<br>Nasopharyngitis<br>Rhinorrhoea<br>Ocular toxicity<br>Urine output<br>Hearing impaired<br>Ageusia<br>Thrombotic microangiopathy<br>Metastatic neoplasm<br>Posterior reversible encephalopathy syndrome<br>Visual impairment
DB00518,Albendazole,2082,CID000002082,Gastrointestinal pain<br>Abdominal pain<br>Agranulocytosis<br>Aplastic anaemia<br>Dizziness<br>Erythema multiforme<br>Rash<br>Dermatitis<br>Body temperature increased<br>Headache<br>Hepatitis<br>Hypersensitivity<br>Immune system disorder<br>Renal failure acute<br>Leukopenia<br>Nausea<br>Neutropenia<br>Pancytopenia<br>Stevens-Johnson syndrome<br>Thrombocytopenia<br>Urethral disorder<br>Urinary tract disorder<br>Urticaria<br>Vertigo<br>Vomiting<br>Intracranial pressure increased<br>Liver function test abnormal<br>Acute hepatic failure<br>Skin disorder<br>Hepatobiliary disease<br>Alopecia
DB00519,Trandolapril,5484727,CID005484727,Abdominal distension<br>Gastrointestinal pain<br>Abdominal pain<br>Agranulocytosis<br>Alopecia<br>Anaemia<br>Haemolytic anaemia<br>Angina pectoris<br>Angioedema<br>Decreased appetite<br>Anxiety<br>Arrhythmia<br>Arthralgia<br>Musculoskeletal discomfort<br>Arthritis<br>Asthenia<br>Atrial flutter<br>Atrioventricular block<br>Back pain<br>Mental disorder<br>Blepharitis<br>Platelet disorder<br>Breast disorder<br>Bronchitis<br>Transient ischaemic attack<br>Chest pain<br>Infection<br>Connective tissue disorder<br>Constipation<br>Cough<br>Disturbance in sexual arousal<br>Libido decreased<br>Depression<br>Diarrhoea<br>Dizziness<br>Somnolence<br>Dysgeusia<br>Dyspepsia<br>Dyspnoea<br>Eczema<br>Oedema<br>Eosinophilia<br>Toxic epidermal necrolysis<br>Epistaxis<br>Erythema multiforme<br>Rash<br>Dermatitis<br>Eye disorder<br>Fatigue<br>Body temperature increased<br>Flatulence<br>Flushing<br>Gastritis<br>Gastrointestinal disorder<br>Gout<br>Hallucination<br>Headache<br>Cardiac arrest<br>Cardiac disorder<br>Cardiac failure<br>Haematemesis<br>Hepatitis<br>Hypercholesterolaemia<br>Hyperglycaemia<br>Hyperhidrosis<br>Hyperkalaemia<br>Hyperlipidaemia<br>Hypersensitivity<br>Hypocalcaemia<br>Hyponatraemia<br>Hypotension<br>Ichthyosis acquired<br>Ichthyosis<br>Immune system disorder<br>Infarction<br>Intermittent claudication<br>Jaundice cholestatic<br>Renal failure acute<br>Laryngeal oedema<br>Leukocytosis<br>Leukopenia<br>Mediastinal disorder<br>Muscle spasms<br>Myocardial infarction<br>Acute coronary syndrome<br>Myoclonus<br>Nausea<br>Nervous system disorder<br>Neutropenia<br>Osteoarthritis<br>Pain in extremity<br>Palpitations<br>Pancreatitis<br>Pancytopenia<br>Paraesthesia<br>Pemphigus<br>Pharyngitis<br>Polyuria<br>Urine output increased<br>Pruritus<br>Psoriasis<br>Pulmonary eosinophilia<br>Renal failure<br>Rhinitis<br>Cardiogenic shock<br>Skin disorder<br>Stevens-Johnson syndrome<br>Cerebrovascular accident<br>Loss of consciousness<br>Shock<br>Syncope<br>Tachycardia<br>Thrombocytopenia<br>Tinnitus<br>Upper respiratory tract infection<br>Pollakiuria<br>Urinary tract infection<br>Urethral disorder<br>Urinary tract disorder<br>Urticaria<br>Varicose vein<br>Angiopathy<br>Vasculitis<br>Ventricular tachycardia<br>Vertigo<br>Vomiting<br>Dry mouth<br>Peripheral vascular disorder<br>Atrioventricular block first degree<br>Agitation<br>Apathy<br>Flat affect<br>Oedema peripheral<br>Migraine<br>Antinuclear antibody positive<br>Blood urea increased<br>Blood creatinine increased<br>Conjunctival oedema<br>Enzyme abnormality<br>Red blood cell sedimentation rate increased<br>Myocardial ischaemia<br>Liver function test abnormal<br>Bone pain<br>Alanine aminotransferase increased<br>Dry skin<br>Haemoglobin decreased<br>Malnutrition<br>Malaise<br>Discomfort<br>Feeling abnormal<br>Ill-defined disorder<br>Myalgia<br>Hepatic enzyme increased<br>Productive cough<br>Erectile dysfunction<br>Azotaemia<br>Congenital arterial malformation<br>Hepatobiliary disease<br>Migraine without aura<br>Photosensitivity reaction<br>Platelet count decreased<br>Blood creatinine decreased<br>Arrhythmia supraventricular<br>Bradycardia<br>Laboratory test abnormal<br>Transaminases increased<br>Electrocardiogram abnormal<br>Visual impairment<br>Hot flush<br>Menopausal symptoms<br>Presyncope<br>Blood uric acid increased<br>Hyperuricaemia<br>Haematocrit decreased<br>White blood cell count decreased<br>Infestation<br>Sleep disorder<br>Blood alkaline phosphatase increased<br>Blood potassium increased<br>Laryngeal pain<br>Upper respiratory tract inflammation<br>Insomnia<br>Upper respiratory tract congestion<br>Ileus<br>Cerebral haemorrhage
DB00521,Carteolol,2583,CID000002583,Arrhythmia<br>Asthenia<br>Conjunctivitis<br>Eyelid ptosis<br>Bronchospasm<br>Depression<br>Diplopia<br>Dizziness<br>Dysgeusia<br>Dyspnoea<br>Oedema<br>Headache<br>Atrioventricular block<br>Cardiac failure congestive<br>Hypersensitivity<br>Hypoglycaemia<br>Hypotension<br>Keratitis<br>Nausea<br>Palpitations<br>Sinusitis<br>Cerebrovascular accident<br>Loss of consciousness<br>Shock<br>Syncope<br>Photophobia<br>Eye irritation<br>Diabetes mellitus<br>Vision blurred<br>Lacrimation increased<br>Vital dye staining cornea present<br>Bradycardia<br>Rash generalised<br>Visual impairment<br>Night blindness<br>Cerebral ischaemia<br>Insomnia<br>Respiratory failure<br>Conjunctival hyperaemia
DB00523,Alitretinoin,449171,CID000449171,Acquired immunodeficiency syndrome<br>Autoimmune disorder<br>Bacterial infection<br>Cellulitis<br>Infection<br>Dermatitis<br>Dermatitis exfoliative<br>Oedema<br>Rash<br>Excoriation<br>Haemorrhage<br>Haemoglobin<br>Hypersensitivity<br>Inflammation<br>Nervous system disorder<br>Pain<br>Paraesthesia<br>Phlebitis<br>Pruritus<br>Skin disorder<br>Skin ulcer<br>Swelling<br>Erythema<br>Angiopathy<br>Oedema peripheral<br>Application site reaction<br>Dermatitis bullous<br>Rash pustular<br>Skin discolouration<br>Dry skin<br>Skin hyperpigmentation<br>Scab<br>Tenderness<br>Skin exfoliation<br>Sepsis<br>Rash maculo-papular<br>Lymphadenopathy<br>Eschar
DB00524,Metolazone,4170,CID000004170,Gastrointestinal pain<br>Abdominal pain<br>Agranulocytosis<br>Anaemia<br>Decreased appetite<br>Anxiety<br>Arthralgia<br>Musculoskeletal discomfort<br>Asthenia<br>Back pain<br>Chest pain<br>Constipation<br>Cough<br>Dermatitis<br>Diarrhoea<br>Dizziness<br>Somnolence<br>Toxic epidermal necrolysis<br>Epistaxis<br>Rash<br>Fatigue<br>Glycosuria<br>Headache<br>Hepatitis<br>Hypercalcaemia<br>Hyperglycaemia<br>Hypersensitivity<br>Hypokalaemia<br>Hyponatraemia<br>Orthostatic hypotension<br>Eye pruritus<br>Jaundice cholestatic<br>Lethargy<br>Leukopenia<br>Muscle spasms<br>Nausea<br>Nervousness<br>Tension<br>Nocturia<br>Pain<br>Palpitations<br>Pancreatitis<br>Paraesthesia<br>Petechiae<br>Pruritus<br>Vascular purpura<br>Purpura<br>Stevens-Johnson syndrome<br>Erythema multiforme<br>Swelling<br>Loss of consciousness<br>Shock<br>Syncope<br>Thrombocytopenia<br>Tinnitus<br>Urticaria<br>Venous thrombosis<br>Vertigo<br>Vomiting<br>Dry mouth<br>Chills<br>Agitation<br>Hypochloraemia<br>Hypophosphataemia<br>Alkalosis hypochloraemic<br>Hypomagnesaemia<br>Skin exfoliation<br>Skin necrosis<br>Dry skin<br>Sinus congestion<br>Hypoplastic anaemia<br>Dyspepsia<br>Malaise<br>Discomfort<br>Feeling abnormal<br>Ill-defined disorder<br>Abdominal discomfort<br>Dysgeusia<br>Erectile dysfunction<br>Oropharyngeal discomfort<br>Oropharyngeal pain<br>Cutaneous vasculitis<br>Major depression<br>Peripheral coldness<br>Vision blurred<br>Photosensitivity reaction<br>Neuropathy peripheral<br>Hypovolaemia<br>Vasculitis necrotising<br>Blood uric acid increased<br>Hyperuricaemia<br>Hypertension<br>Blood urea increased<br>Insomnia<br>Flatulence<br>Abdominal distension
DB00528,Lercanidipine,65866,CID000065866,Gastrointestinal pain<br>Abdominal pain<br>Agranulocytosis<br>Alopecia<br>Alveolitis allergic<br>Anaemia<br>Angina pectoris<br>Angioedema<br>Decreased appetite<br>Anxiety<br>Arthralgia<br>Musculoskeletal discomfort<br>Arthritis<br>Asthenia<br>Asthma<br>Autoimmune disorder<br>Mental disorder<br>Breast disorder<br>Bronchospasm<br>Cardiovascular disorder<br>Chest pain<br>Cholestasis<br>Confusional state<br>Feeling abnormal<br>Connective tissue disorder<br>Constipation<br>Cough<br>Dermatitis<br>Dermatitis exfoliative<br>Dermatitis atopic<br>Diarrhoea<br>Dizziness<br>Dysgeusia<br>Dyspepsia<br>Dyspnoea<br>Toxic epidermal necrolysis<br>Erythema multiforme<br>Rash<br>Eye disorder<br>Fatigue<br>Body temperature increased<br>Flushing<br>Gastrointestinal disorder<br>Gingival hypertrophy<br>Glossitis<br>Gynaecomastia<br>Headache<br>Cardiac disorder<br>Cardiac failure<br>Hepatitis<br>Dysphonia<br>Hypercholesterolaemia<br>Hyperkalaemia<br>Hypersensitivity<br>Hypertriglyceridaemia<br>Blood triglycerides increased<br>Hypoglycaemia<br>Hyponatraemia<br>Hypotension<br>Orthostatic hypotension<br>Immune system disorder<br>Jaundice<br>Muscle spasms<br>Leukocytosis<br>Hepatocellular injury<br>Liver disorder<br>Foetor hepaticus<br>Mediastinal disorder<br>Myocardial infarction<br>Acute coronary syndrome<br>Myositis<br>Nausea<br>Necrosis<br>Nervous system disorder<br>Nervousness<br>Tension<br>Neutropenia<br>Nocturia<br>Oliguria<br>Palpitations<br>Pancreatitis<br>Pancytopenia<br>Paraesthesia<br>Pemphigus<br>Peptic ulcer<br>Neuropathy peripheral<br>Polyuria<br>Urine output increased<br>Proteinuria<br>Protein urine present<br>Pruritus<br>Renal failure<br>Rhinitis<br>Serositis<br>Stevens-Johnson syndrome<br>Stomatitis<br>Aphthous stomatitis<br>Cerebrovascular accident<br>Loss of consciousness<br>Shock<br>Syncope<br>Tachycardia<br>Thrombocytopenia<br>Tinnitus<br>Tongue disorder<br>Erythema<br>Pollakiuria<br>Urethral disorder<br>Urinary tract disorder<br>Urticaria<br>Angiopathy<br>Vasculitis<br>Vertigo<br>Vomiting<br>Dry mouth<br>Hepatic failure<br>Oedema peripheral<br>Migraine<br>Periorbital oedema<br>Antinuclear antibody positive<br>Blood urea increased<br>Gamma-glutamyltransferase increased<br>Muscular weakness<br>Aspartate aminotransferase increased<br>Alanine aminotransferase increased<br>Haemoglobin decreased<br>Malnutrition<br>Skin disorder<br>Malaise<br>Discomfort<br>Ill-defined disorder<br>Myalgia<br>Abdominal pain upper<br>Dizziness postural<br>Dry throat<br>Lung infiltration<br>Diabetes mellitus<br>Erectile dysfunction<br>Oropharyngeal discomfort<br>Oropharyngeal pain<br>Hepatobiliary disease<br>Vision blurred<br>Photosensitivity reaction<br>Lymphadenopathy<br>Face oedema<br>Blood creatinine increased<br>Hyperhidrosis<br>Sleep disorder<br>Laryngeal pain<br>Insomnia<br>Ileus<br>Nasopharyngitis<br>Rhinorrhoea<br>Eosinophilic pneumonia<br>Somnolence<br>Feeling hot
DB00530,Erlotinib,176870,CID000176870,Gastrointestinal pain<br>Abdominal pain<br>Alopecia<br>Haemolytic anaemia<br>Decreased appetite<br>Anxiety<br>Arrhythmia<br>Arthralgia<br>Musculoskeletal discomfort<br>Asthenia<br>Back pain<br>Mental disorder<br>Blister<br>Dermatitis bullous<br>Obliterative bronchiolitis<br>Cardiovascular disorder<br>Cellulitis<br>Chest pain<br>Colitis<br>Infection<br>Conjunctivitis<br>Connective tissue disorder<br>Constipation<br>Ulcerative keratitis<br>Cough<br>Dysphagia<br>Dehydration<br>Depression<br>Diarrhoea<br>Dizziness<br>Dyspepsia<br>Dyspnoea<br>Oedema<br>Toxic epidermal necrolysis<br>Epistaxis<br>Rash<br>Dermatitis<br>Eye disorder<br>Fatigue<br>Body temperature increased<br>Flatulence<br>Folliculitis<br>Gastritis<br>Gastrointestinal disorder<br>Gastrointestinal haemorrhage<br>Headache<br>Haematemesis<br>Haematochezia<br>Haemorrhage<br>Haemoglobin<br>Hepatitis<br>Hepatorenal syndrome<br>Hirsutism<br>Hypokalaemia<br>Inflammation<br>Intestinal perforation<br>Ischaemia<br>Keratitis<br>Dry eye<br>Renal failure acute<br>Hepatocellular injury<br>Liver disorder<br>Foetor hepaticus<br>Lung disorder<br>Mediastinal disorder<br>Melaena<br>Myopathy<br>Musculoskeletal pain<br>Myocardial infarction<br>Acute coronary syndrome<br>Nail disorder<br>Nausea<br>Nephritis<br>Nervous system disorder<br>Neutropenia<br>Pain<br>Pancreatitis<br>Paronychia<br>Peptic ulcer<br>Peptic ulcer haemorrhage<br>Pneumonia<br>Proteinuria<br>Protein urine present<br>Pruritus<br>Pulmonary fibrosis<br>Renal failure<br>Acute respiratory distress syndrome<br>Rhabdomyolysis<br>Rosacea<br>Skin disorder<br>Stevens-Johnson syndrome<br>Erythema multiforme<br>Stomatitis<br>Cerebrovascular accident<br>Loss of consciousness<br>Shock<br>Syncope<br>Thrombocytopenia<br>Erythema<br>Urethral disorder<br>Urinary tract disorder<br>Uveitis<br>Vomiting<br>Weight decreased<br>Hepatic failure<br>Deep vein thrombosis<br>Gastrointestinal perforation<br>Bone pain<br>Alanine aminotransferase increased<br>Dry skin<br>Malnutrition<br>Skin hyperpigmentation<br>Interstitial lung disease<br>Microangiopathic haemolytic anaemia<br>Skin fissures<br>Myalgia<br>Tenderness<br>Dermatitis acneiform<br>Hepatotoxicity<br>Lung infiltration<br>Pancreatic carcinoma<br>Skin exfoliation<br>Rash pustular<br>Disease progression<br>Sepsis<br>Hepatobiliary disease<br>Mucosal inflammation<br>Corneal perforation<br>Chills<br>Neuropathy peripheral<br>Metastases to liver<br>Hepatic cancer metastatic<br>Drug interaction<br>Acne<br>Infestation<br>Lung infection<br>Insomnia<br>Pulmonary toxicity<br>Ileus<br>Renal impairment<br>Cerebral haemorrhage
