Drug1,DB_ID1,Drug2,DB_ID2,Cell.line,ZIP,Bliss,Loewe,HSA,ZIPclassification,blissclassification,loeweclassification,hsaclassification,synthetic,classification
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A2058,-2.55,-5.75,-9.28,-4.91,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A2058,-2.14,-4.53,-8.05,-3.69,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,A2058,7.69,8.31,4.86,7,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,A2058,-8.13,-7.08,-13.06,-4.13,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,A2058,-2.89,-3.77,-9.75,-0.83,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,A2780,6.24,7.1,11.16,11.85,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A2780,1.45,4.97,9.03,9.72,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A2780,5.05,6.13,10.19,10.89,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A2780,4.58,5.46,9.52,10.21,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A2780,4.51,4.98,2.35,7.22,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A2780,5.03,6.18,3.55,8.42,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A2780,4.5,5.47,2.84,7.71,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A2780,4.87,5.77,3.14,8.01,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2780,17.35,17.3,26.39,26.77,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2780,15.8,15.36,24.45,24.83,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2780,12.98,12.83,21.92,22.3,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A2780,14.16,14.24,23.33,23.71,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,A2780,6.19,6.92,4.08,5.75,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,A2780,7.97,9.22,6.38,8.05,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,A2780,8.67,10.75,7.91,9.58,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A2780,3.66,3.84,3.56,7.31,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A2780,3.24,3.58,3.3,7.06,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A2780,3.94,3.74,3.46,7.21,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A2780,3.72,4.3,4.02,7.78,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A2780,8.32,7.86,11.69,15.25,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A2780,13.27,11.51,15.34,18.89,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A2780,9.11,8.68,12.51,16.06,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A2780,8.16,7.41,11.24,14.79,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,A2780,15.26,15.27,13.24,15.38,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,A2780,7.26,8.08,6.05,8.19,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,A2780,6.49,7.47,5.44,7.58,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,A2780,12.95,12.87,10.84,12.97,1,1,1,1,4,synergy
METHOTREXATE,DB00563,DASATINIB,DB01254,A2780,2.39,0.99,0.84,2.59,1,1,1,1,4,synergy
METHOTREXATE,DB00563,DASATINIB,DB01254,A2780,2.15,0.87,0.72,2.47,1,1,1,1,4,synergy
METHOTREXATE,DB00563,DASATINIB,DB01254,A2780,2.72,1.61,1.46,3.21,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,A2780,10.92,10.21,3.62,18.41,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,A2780,7.2,6.84,0.25,15.04,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,A2780,11.38,10.81,4.22,19.02,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A375,-1.57,-3.43,-5.62,-2.53,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,A375,-3.34,-3.99,-6.18,-3.1,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,A375,0.21,2.45,0.25,3.34,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A375,1.19,5.66,1.33,5.95,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A375,9.59,13.08,8.74,13.36,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A375,0.26,7.38,3.04,7.67,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A375,2.19,8.48,4.15,8.77,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A375,-0.79,-1.95,-3.08,-0.02,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,A375,2.01,1.69,0.55,3.62,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A375,6.41,5.55,7.73,11.35,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A375,3.91,5.68,7.86,11.48,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A375,5.72,5.54,7.73,11.34,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,A375,4.77,4.03,6.22,9.84,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,A375,-0.52,-3.55,-9.88,-3.81,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A375,-0.42,-1.08,-7.41,-1.34,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A375,-2.59,-3.54,-9.86,-3.79,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,A375,-4.38,-8.07,-62.18,-7.53,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,A375,-3.51,-4.28,-58.39,-3.75,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,A375,-2.46,-1.75,-55.86,-1.22,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A375,4.96,6,1.43,7.13,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,A375,-3.19,-8.7,-7.53,-4.65,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,A375,-3.63,-4.51,-3.33,-0.46,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,A375,1.49,0.42,1.6,4.48,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,A375,3.54,0.59,1.76,4.64,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A427,1.75,2.48,2.39,4.26,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A427,0.39,0.27,0.18,2.05,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,A427,3.79,4.61,4.52,6.39,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A427,-3.01,-4.3,-4.72,-2.33,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A427,-2.57,-3.59,-4.01,-1.63,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,A427,-3.1,-2.76,-3.18,-0.79,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,A427,2.91,2.58,9.04,9.79,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A427,1.7,0.61,7.07,7.82,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,A427,3.92,3.88,10.34,11.09,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,A427,-0.49,-1.39,-5.68,-0.49,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,A427,-0.56,-2.41,-6.69,-1.5,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,A427,-2.84,-5.39,-9.67,-4.49,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A427,-3.28,-9.33,-9.23,-7.28,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A427,-3.05,-3.71,-3.61,-1.66,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,A427,-3.09,-6.43,-6.33,-4.38,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,A427,0.35,1.04,0.04,6.38,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,A427,3.34,2.78,1.77,8.12,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,A427,1.66,2.68,1.68,8.02,1,1,1,1,4,synergy
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A427,-0.1,-2.53,-6.63,-0.96,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A427,-0.73,-3.32,-7.42,-1.74,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,A427,-0.18,-3.41,-7.51,-1.84,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,A427,-5.3,-7.56,-7.39,-2.29,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,A427,-4.92,-7.42,-7.25,-2.15,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,A427,-0.88,-3.48,-7.85,-1.69,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,A427,-0.86,-2.51,-6.89,-0.72,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,A427,-6.4,-10.2,-2.61,-1.79,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,CAOV3,0.61,1.06,0.09,1.47,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,CAOV3,2.17,2.82,1.85,3.23,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,CAOV3,1.68,1.56,0.59,1.97,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,CAOV3,2.72,3.51,2.53,3.91,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,CAOV3,-0.02,-1.02,-6.24,-0.77,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,CAOV3,2.95,2.27,8.33,9.67,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,CAOV3,4.28,3.89,9.95,11.3,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,CAOV3,1.57,1.94,8,9.34,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,CAOV3,4.2,4.23,10.29,11.64,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,CAOV3,-7.27,-1.98,-1.63,-1.46,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,CAOV3,-6.15,-4.99,-4.64,-4.47,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,CAOV3,0.09,0.4,0.74,0.92,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,CAOV3,-7.2,-4.74,-4.39,-4.22,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,CAOV3,6.55,6.46,12.31,20.43,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,CAOV3,5.21,5.1,10.96,19.08,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,CAOV3,5.35,5.2,11.06,19.18,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,CAOV3,4.2,4.16,10.01,18.13,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,CAOV3,5.88,6.1,0.81,5.94,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,CAOV3,4.14,5.93,0.63,5.76,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,CAOV3,3.91,6.03,0.74,5.87,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,CAOV3,6.01,6.13,9.19,11.3,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,CAOV3,4.95,4.13,7.18,9.29,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,CAOV3,6.93,7.15,10.21,12.32,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,CAOV3,4.66,4.69,7.74,9.86,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,CAOV3,-0.14,-0.86,-9.58,-0.61,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,CAOV3,-0.44,-0.72,-9.44,-0.47,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,CAOV3,-1.63,-2.84,-11.55,-2.59,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,CAOV3,-7.97,-9.63,-4.8,-1.24,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,CAOV3,5.89,4.62,0.93,4.93,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,COLO320DM,13.1,16.28,14.28,16.35,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,COLO320DM,9.84,14.01,12.01,14.08,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,COLO320DM,18.38,20.61,18.61,20.69,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,COLO320DM,21.21,22.99,20.99,23.06,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,COLO320DM,5.13,5.08,1.1,1.47,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,COLO320DM,2.45,4.83,0.85,1.21,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,COLO320DM,3.48,10.07,6.09,6.45,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,COLO320DM,1.53,8.53,4.55,4.92,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,COLO320DM,2.63,8.07,4.31,4.23,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,COLO320DM,2.63,7.33,3.56,3.49,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,COLO320DM,12.15,16.79,13.57,16.79,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,COLO320DM,11.12,16.84,13.61,16.83,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,COLO320DM,15.03,18.34,15.12,18.34,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,COLO320DM,12.45,14.58,11.36,14.58,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,COLO320DM,2.53,7.16,3.33,3.33,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,COLO320DM,2.53,11.93,8.1,8.1,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,COLO320DM,6.86,8.75,4.92,4.92,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,COLO320DM,5.37,7.49,5.56,2.8,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,DLD1,3.16,4.25,2.53,5.06,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,DLD1,3.94,4.06,2.34,4.87,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,DLD1,2.44,2.82,1.1,3.63,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,DLD1,5.45,8.12,3.14,7.32,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,DLD1,5.59,7.2,2.22,6.4,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,DLD1,-2.96,-1.7,-4.72,-0.61,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,DLD1,2.4,3.29,6.3,8.77,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,DLD1,2.54,3.14,6.15,8.62,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,DLD1,3.46,4.23,7.24,9.71,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,DLD1,2.9,2.68,5.69,8.16,1,1,1,1,4,synergy
METHOTREXATE,DB00563,DASATINIB,DB01254,DLD1,-3.34,-6.01,-7.46,-3.24,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,DLD1,-1.41,-3.48,-4.93,-0.71,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,DLD1,-6.3,-7.43,-8.89,-4.67,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,DLD1,-2.14,-3.79,-5.25,-1.02,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,DLD1,-0.6,-1.56,-4.12,-0.8,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,DLD1,2.44,1.28,3.01,6.1,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,DLD1,3.8,7.03,8.77,11.85,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,DLD1,12.6,10.76,12.49,15.57,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,DLD1,0.64,0.71,2.44,5.53,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,EFM192B,0.53,2.79,1.24,5.46,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,EFM192B,5.13,7.95,11.56,12.21,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,EFM192B,-2.65,-2.1,-11.98,-8.1,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,EFM192B,-3.4,-5.68,-7.45,-1.39,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,EFM192B,-0.74,-5.03,-32.8,-4.8,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,EFM192B,-1.35,-4.37,-32.14,-4.14,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,EFM192B,-0.35,-2.69,-30.46,-2.46,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,EFM192B,5.79,8.39,4.55,9.24,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,EFM192B,0.11,7.27,3.43,8.13,1,1,1,1,4,synergy
METHOTREXATE,DB00563,DASATINIB,DB01254,EFM192B,-8.8,-6.05,-2.37,-1.43,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,EFM192B,-4.69,-9.61,-12.99,-6.73,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,EFM192B,-2.46,-7.99,-11.37,-5.11,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,EFM192B,-2.77,-4.13,-7.51,-1.25,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,EFM192B,-2.53,-5.64,-9.02,-2.75,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,EFM192B,-6.59,-5.95,-4.68,-0.79,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,ES2,11.29,14.85,6.89,13.38,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,ES2,10.62,8.32,36.24,6.35,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,ES2,6.73,7.33,35.25,5.35,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,ES2,15.67,16.57,44.49,14.59,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,ES2,14.76,15.84,43.76,13.86,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,ES2,8.98,15.11,18.88,10.94,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,ES2,5.97,10.57,14.34,6.4,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,ES2,12.26,5.77,9.54,1.6,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,ES2,2.4,2.25,0.67,4.09,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,ES2,5.29,3.01,1.43,4.85,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,ES2,-1.3,-1.79,-11.52,-2.11,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,ES2,-1.18,-6.82,-16.55,-7.14,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,ES2,-0.7,-4.28,-14.01,-4.6,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,ES2,7.18,7.23,4.45,7.39,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,ES2,7.25,9.17,6.38,9.32,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,ES2,4.8,6.8,4.02,6.96,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,ES2,-3.02,-1.61,-6.61,-4.59,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,ES2,-1.23,-0.6,-5.61,-3.58,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,ES2,-2.71,-1.08,-6.09,-4.07,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,ES2,1.52,3.03,0.65,4.29,1,1,1,1,4,synergy
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,ES2,8.66,8.4,6.02,9.65,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,ES2,-0.44,-5.95,-19.38,-7.46,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,HCT116,-0.23,-2.6,-52.59,-2.25,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,HCT116,-0.36,-0.66,-50.64,-0.31,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,HCT116,-0.6,-0.42,-50.4,-0.07,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,HCT116,-1.49,-1.82,-51.81,-1.47,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,HCT116,-2.35,-5.32,-8.69,-4.45,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,HCT116,-2.52,-5.47,-8.84,-4.6,-1,-1,-1,-1,-4,antagonism
